category_en,total,greece,usa,first_year,last_year
public trust / accountability,112,51,61,1917,2026
"Corruption, capture and public money",15,10,5,1933,2024
"Policing, force and institutional accountability",15,8,7,1944,2024
"Surveillance, secrecy and information control",10,5,5,1918,2024
"Public health, science and consent",6,0,6,1927,2025
disaster governance / inequality,2,0,2,2005,2005
policing / civil rights,2,0,2,2014,2020
"UFO, supernatural claims and public psychology",2,1,1,1977,2007
abuse / elite protection,1,1,0,2021,2021
abuse / religious institution / cover-up,1,0,1,2002,2002
accountability / dictatorship aftermath,1,1,0,1976,1976
agricultural funds / corruption,1,1,0,2025,2025
army politics / constitutional crisis / intelligence claims,1,1,0,1965,1965
austerity / political violence,1,1,0,2010,2010
austerity / sovereignty,1,1,0,2015,2015
authoritarianism / censorship,1,1,0,1936,1936
aviation disaster / oversight,1,1,0,2005,2005
bank failure / regulatory oversight,1,0,1,2023,2023
banking crime / deferred prosecution,1,0,1,2012,2012
bioterror / forensic uncertainty,1,0,1,2001,2001
border crisis / propaganda,1,1,0,2020,2020
border rights / migration,1,1,0,2012,2012
bribery / public contracts / party finance,1,1,0,2008,2008
censorship / anti-communism / cultural power,1,0,1,1947,1947
child protection / abuse / justice process,1,1,0,2022,2022
child protection / charity oversight,1,1,0,2022,2022
civil liberties / sexuality / security state,1,0,1,1950,1950
civil liberties / surveillance,1,0,1,1919,1919
civil liberties / wartime detention / racism,1,0,1,1942,1942
civil rights / racial terror / law enforcement,1,0,1,1964,1964
civil war / state violence,1,1,0,1946,1946
civil war aftermath / repression,1,1,0,1949,1949
civil-war aftermath / detention / coercion,1,1,0,1947,1947
constitutional crisis / palace influence,1,1,0,1965,1965
corporate fraud / accounting,1,0,1,2002,2002
corporate fraud / accounting / telecom bubble,1,0,1,2001,2001
corporate fraud / energy markets / audit failure,1,0,1,2001,2001
corporate fraud / environment,1,0,1,2015,2015
corporate fraud / market oversight,1,1,0,2018,2018
corporate regulation / aviation safety,1,0,1,2019,2019
corruption / media / finance,1,1,0,1989,1989
corruption / media power,1,1,0,1989,1989
corruption / political accountability,1,1,0,2026,2026
covert action / foreign policy failure / secrecy,1,0,1,1961,1961
covert policy / executive power,1,0,1,1986,1986
crime / media ethics,1,1,0,2022,2022
custody death / elite networks,1,0,1,2019,2019
cyber / health systems,1,0,1,2024,2024
cyber operation / election trust / party politics,1,0,1,2016,2016
data breach / consumer surveillance,1,0,1,2017,2017
data exploitation / elections / platform power,1,0,1,2018,2018
data politics / elections,1,0,1,2016,2016
data protection / elections,1,1,0,2024,2024
data protection / elections / party access,1,1,0,2024,2024
debt / sovereignty,1,1,0,1898,1898
debt crisis / sovereignty,1,1,0,2010,2010
democracy / political violence,1,0,1,2021,2021
dictatorship / foreign context,1,1,0,1967,1967
dictatorship / human rights,1,1,0,1968,1968
dictatorship / repression,1,1,0,1973,1973
dictatorship / student uprising / state violence,1,1,0,1973,1973
dictatorship / torture / resistance,1,1,0,1968,1968
digital ID / child safety,1,1,0,2025,2025
digital ID / children / platform control,1,1,0,2026,2026
digital identity / trust,1,1,0,2025,2025
disaster / governance,1,1,0,2018,2018
disaster / urban planning / accountability,1,1,0,2017,2017
disaster governance / climate,1,1,0,2023,2023
disaster governance / misinformation,1,0,1,2023,2023
domestic intelligence / civil liberties,1,0,1,1956,1956
domestic intelligence abuse,1,0,1,1964,1964
domestic surveillance / political disruption,1,0,1,1971,1971
domestic terrorism / warning signs,1,0,1,1995,1995
economic sovereignty / bailout governance,1,1,0,2015,2015
education / cultural destruction,1,0,1,1879,1879
education policy / institutional incentives,1,0,1,2002,2002
election legitimacy / political violence / security failure,1,0,1,2021,2021
elections / judiciary,1,0,1,2000,2000
elections / money power,1,0,1,2010,2010
elite corruption / education,1,0,1,2019,2019
environment / corporate safety,1,0,1,2023,2023
environment / indigenous rights,1,0,1,2016,2016
environmental contamination / regulatory delay,1,0,1,2021,2021
environmental disaster / corporate accountability,1,0,1,1989,1989
environmental failure / corporate-state accountability,1,0,1,1978,1978
EU funds / corruption,1,1,0,2025,2025
EU funds / corruption fallout,1,1,0,2025,2025
EU funds / political corruption,1,1,0,2025,2025
extremism / public order,1,0,1,2017,2017
far-right violence / justice,1,1,0,2013,2013
federal force / siege / civil liberties,1,0,1,1992,1992
federal law enforcement / militarization,1,0,1,1992,1992
federal siege / religion / force escalation,1,0,1,1993,1993
femicide / institutional failure,1,1,0,2024,2024
finance / pensions / corruption,1,1,0,2007,2007
finance / political trust,1,1,0,1999,1999
finance / public trust,1,1,0,1999,1999
financial corruption / media power,1,1,0,1988,1988
financial corruption / pensions,1,1,0,2007,2007
financial corruption / systemic failure,1,0,1,2007,2007
financial crisis / moral hazard,1,0,1,2008,2008
financial crisis / regulatory failure,1,0,1,2008,2008
financial fraud / crypto,1,0,1,2022,2022
financial fraud / regulatory failure,1,0,1,2008,2008
financial regulation / fraud / public bailout,1,0,1,1980,1980
financial scandal / public psychology,1,1,0,1999,1999
foreign intervention / corporate influence,1,0,1,1954,1954
foreign intervention / intelligence,1,0,1,1953,1953
foreign intervention / oil / covert action,1,0,1,1953,1953
foreign intervention / oil politics,1,0,1,1953,1953
foreign policy / covert funding,1,0,1,1986,1986
foreign policy / military regime,1,1,0,1974,1974
foreign policy crisis / media escalation,1,1,0,1996,1996
foreign policy crisis / media panic,1,1,0,1996,1996
healthcare bureaucracy / veterans,1,0,1,2014,2014
housing / data economy,1,0,1,2024,2024
human rights / borders,1,1,0,2025,2025
identity politics / disinformation,1,1,0,2018,2018
immigration / racial law,1,0,1,1882,1882
immigration / state power,1,0,1,2018,2018
immigration enforcement / civil rights / labor,1,0,1,1954,1954
industrial disaster / environmental harm,1,0,1,2010,2010
infrastructure / emergency response,1,0,1,2024,2024
institutional boundaries / extremism,1,1,0,2014,2014
intelligence / media influence,1,0,1,1950,1950
intelligence / mind control,1,0,1,1953,1953
intelligence / mind-control research,1,0,1,1951,1951
intelligence leak / war politics,1,0,1,2003,2003
intelligence oversight,1,0,1,1975,1975
intelligence oversight / civil liberties,1,0,1,1975,1975
journalist killing / organized crime / impunity,1,1,0,2021,2021
judicial ethics / influence,1,0,1,2024,2024
junta / foreign policy disaster,1,1,0,1974,1974
labor / corporate power,1,0,1,1914,1914
labor / federal power / union decline,1,0,1,1981,1981
labor conflict / austerity / policing,1,1,0,2012,2012
labor conflict / federal force / corporate power,1,0,1,1894,1894
labor safety / industrial disaster / regulatory reform,1,0,1,1911,1911
labor violence / corporate power,1,0,1,1914,1914
land swaps / church-state influence,1,1,0,2008,2008
law enforcement failure,1,0,1,2011,2011
local corruption / housing,1,0,1,2026,2026
maritime disaster / safety regulation,1,1,0,2000,2000
mass raids / political repression,1,0,1,1919,1919
mass shooting / policing failure / public safety,1,0,1,2022,2022
mass surveillance / whistleblowing,1,0,1,2013,2013
mass violence / conspiracy culture,1,0,1,2012,2012
media / austerity governance / state power,1,1,0,2013,2013
media / intelligence controversy,1,0,1,1996,1996
media funding / pandemic,1,1,0,2020,2020
media ownership / licensing / political influence,1,1,0,1991,1991
media regulation / state power,1,1,0,2016,2016
media scandal / political access / alleged blackmail,1,1,0,2007,2007
medical abuse / institutional racism,1,0,1,1932,1932
medical abuse / racism / public health,1,0,1,1932,1932
medical ethics / human experimentation,1,0,1,1946,1946
medical technology / software safety / regulation,1,0,1,1985,1985
migration / EU policy / humanitarian governance,1,1,0,2015,2015
migration / intelligence cooperation / civil liberties,1,1,0,2005,2005
migration / maritime disaster,1,1,0,2023,2023
military dictatorship / Cold War,1,1,0,1967,1967
military disaster / political trial / national trauma,1,1,0,1922,1922
military disaster / racism / labor safety,1,0,1,1944,1944
military incident / diplomacy,1,0,1,1967,1967
military regime / foreign policy disaster,1,1,0,1974,1974
military safety / wildfires,1,1,0,2023,2023
minority rights / diplomatic shock,1,1,0,1955,1955
minority rights / foreign-state violence / memory,1,1,0,1955,1955
municipal corruption / public housing,1,0,1,2026,2026
nuclear safety / public communication,1,0,1,1979,1979
organized crime / media pressure / disputed influence,1,1,0,2019,2019
organized crime / policing,1,1,0,2019,2019
organized crime / public trust,1,1,0,2017,2017
pandemic controls / enforcement,1,1,0,2020,2020
pandemic fraud / public money,1,0,1,2020,2020
pandemic governance / emergency powers / procurement,1,1,0,2020,2020
pharma / bribery allegations / political conflict,1,1,0,2016,2016
pharma / corruption allegation,1,1,0,2021,2021
pharmaceutical corruption / politics,1,1,0,2019,2019
platform power / mental health,1,0,1,2021,2021
police failure / racial violence / media panic,1,0,1,1943,1943
police failure / school safety,1,0,1,2022,2022
police violence / media evidence,1,0,1,1991,1991
police violence / protest,1,0,1,2020,2020
police violence / urban disaster,1,0,1,1985,1985
police violence / urban governance,1,0,1,1985,1985
police violence / urban unrest,1,0,1,1992,1992
police violence / youth protest / accountability,1,1,0,1985,1985
police violence / youth revolt,1,1,0,2008,2008
policing / detention transparency,1,0,1,2014,2014
policing / LGBTQ rights / public memory,1,0,1,1969,1969
policing / political repression,1,0,1,1969,1969
policing / protest / pandemic restrictions,1,1,0,2021,2021
policing / social violence,1,1,0,2018,2018
policing / video evidence,1,0,1,2015,2015
policing / vigilante violence / media narrative,1,1,0,2018,2018
policing / youth unrest,1,1,0,1985,1985
policing / youth uprising,1,1,0,2008,2008
political conspiracy allegation / democratic stress,1,0,1,1933,1933
political corruption / surveillance,1,0,1,1972,1972
political suspicion / contested allegation,1,0,1,1980,1980
political trial / civil-war aftermath / state justice,1,1,0,1952,1952
political violence / education,1,1,0,1991,1991
political violence / institutions,1,0,1,2021,2021
political violence / parastate,1,1,0,1963,1963
political violence / policing / extremist networks,1,0,1,1979,1979
political violence / rail disaster aftermath,1,1,0,2025,2025
postwar state power / foreign influence / political violence,1,1,0,1944,1944
press freedom / organized crime,1,1,0,2021,2021
prison system / state violence,1,0,1,1971,1971
procurement / surveillance infrastructure,1,1,0,2004,2004
protest / state force,1,1,0,2011,2011
protest policing / austerity,1,1,0,2011,2011
protest policing / indigenous rights,1,0,1,2016,2016
psychological operations / human experimentation,1,0,1,1977,1977
public corruption / bribery,1,0,1,2025,2025
public corruption / federal contracts,1,0,1,2025,2025
public finance / sovereignty,1,1,0,1893,1893
public health / corporate deception / settlement politics,1,0,1,1998,1998
public health / environmental injustice,1,0,1,2014,2014
public health / environmental racism / state failure,1,0,1,2014,2014
public health / governance,1,0,1,2020,2020
public health / infrastructure failure,1,0,1,2016,2016
public health / movement control,1,1,0,2020,2020
public health / pharmaceutical policy,1,0,1,2020,2020
public health / police spectacle,1,1,0,2012,2012
public health / risk communication,1,0,1,2009,2009
public health policy / civil liberties,1,1,0,2021,2021
public money / pension funds / financial products,1,1,0,2006,2006
public safety / mafia,1,1,0,2023,2023
racial terror / local failure,1,0,1,1921,1921
racial violence / local cover-up,1,0,1,1921,1921
racial violence / policing / civil rights,1,0,1,1919,1919
racial violence / public accountability,1,0,1,1921,1921
rail disaster / state failure / accountability,1,1,0,2023,2023
rail disaster trial / accountability,1,1,0,2026,2026
rights / digital surveillance,1,0,1,2022,2022
school violence / public safety,1,0,1,2018,2018
school violence / social panic,1,0,1,1999,1999
secrecy / press freedom,1,0,1,1971,1971
space disaster / organizational failure,1,0,1,1986,1986
spyware / rule of law,1,1,0,2022,2022
state violence / indigenous history,1,0,1,1890,1890
state violence / land policy,1,0,1,1830,1830
state violence / protest policing,1,0,1,1970,1970
statistics / debt crisis / institutional trust,1,1,0,2010,2010
surveillance / civil liberties,1,0,1,1971,1971
surveillance / counterterrorism,1,0,1,2001,2001
surveillance / digital infrastructure,1,0,1,2013,2013
surveillance / digital rights,1,0,1,2013,2013
surveillance / executive power,1,0,1,2005,2005
surveillance / private cyber power,1,0,1,2021,2021
surveillance / racial politics,1,0,1,1969,1969
