Country,DateFolder,Year,IncidentFolder,IncidentPath,ID,TitleEN,TitleEL,CategoryEN,CategoryEL,EvidenceEN,EvidenceEL,MediaCount
Greece,00-00-1893,1893,Greece bankruptcy and Trikoupis debt crisis,Greece/00-00-1893/Greece bankruptcy and Trikoupis debt crisis,greece_1893_bankruptcy_trikoupis_debt_crisis,Greece bankruptcy and Trikoupis debt crisis,Greece bankruptcy and Trikoupis debt crisis,public finance / sovereignty,public finance / sovereignty,documented historical crisis,documented historical crisis,2
Greece,00-00-1898,1898,International Financial Control after the 1897 war,Greece/00-00-1898/International Financial Control after the 1897 war,greece_1898_international_financial_control_after_war,International Financial Control after the 1897 war,International Financial Control after the 1897 war,debt / sovereignty,debt / sovereignty,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1920,1920,"POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)","Greece/00-00-1920/POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)",greece_1920_political_dynasties_venizelos_mitsotakis_link,"POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)",ΠΟΛΙΤΙΚΕΣ ΔΥΝΑΣΤΕΙΕΣ ΣΤΗΝ ΕΛΛΑΔΑ ΚΑΙ Η ΣΥΓΓΕΝΕΙΑ ΒΕΝΙΖΕΛΟΥ - ΜΗΤΣΟΤΑΚΗ (1900-2026),public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,3
Greece,00-00-1922,1922,Asia Minor catastrophe and trial of the six,Greece/00-00-1922/Asia Minor catastrophe and trial of the six,greece_1922_asia_minor_catastrophe_trial_six,Asia Minor catastrophe and trial of the six,Asia Minor catastrophe and trial of the six,war disaster / accountability,war disaster / accountability,documented national trauma,documented national trauma,2
Greece,00-00-1922,1922,"Trial of the Six, Asia Minor catastrophe, and punishment politics","Greece/00-00-1922/Trial of the Six, Asia Minor catastrophe, and punishment politics",greece_1922_trial_of_the_six_asia_minor_accountability,"Trial of the Six, Asia Minor catastrophe, and punishment politics","Δίκη των Έξι, Μικρασιατική Καταστροφή και πολιτική τιμωρίας",military disaster / political trial / national trauma,στρατιωτική καταστροφή / πολιτική δίκη / εθνικό τραύμα,documented historical trial with disputed justice,τεκμηριωμένη ιστορική δίκη με αμφισβητούμενη δικαιοσύνη,2
Greece,00-00-1936,1936,Metaxas dictatorship and censorship machine,Greece/00-00-1936/Metaxas dictatorship and censorship machine,greece_1936_metaxas_dictatorship_censorship_machine,Metaxas dictatorship and censorship machine,Metaxas dictatorship and censorship machine,authoritarianism / censorship,authoritarianism / censorship,documented dictatorship,documented dictatorship,2
Greece,00-00-1941,1941,Greek occupation famine and collaboration networks,Greece/00-00-1941/Greek occupation famine and collaboration networks,greece_1941_greek_occupation_famine_collaboration_networks,Greek occupation famine and collaboration networks,Greek occupation famine and collaboration networks,war / survival / collaboration,war / survival / collaboration,documented humanitarian catastrophe,documented humanitarian catastrophe,2
Greece,00-00-1944,1944,"Dekemvriana, British intervention, and the road to civil war","Greece/00-00-1944/Dekemvriana, British intervention, and the road to civil war",greece_1944_dekemvriana_british_intervention_civil_war_path,"Dekemvriana, British intervention, and the road to civil war","Δεκεμβριανά, βρετανική επέμβαση και δρόμος προς τον εμφύλιο",postwar state power / foreign influence / political violence,μεταπολεμική εξουσία / ξένη επιρροή / πολιτική βία,documented historical conflict with contested responsibility,τεκμηριωμένη ιστορική σύγκρουση με αμφισβητούμενη ευθύνη,2
Greece,00-00-1944,1944,"Dekemvriana, foreign intervention, state violence and civil-war memory (1944)","Greece/00-00-1944/Dekemvriana, foreign intervention, state violence and civil-war memory (1944)",greece_1944_dekemvriana_foreign_intervention_state_violence_civil_war_memory,"Dekemvriana, foreign intervention, state violence and civil-war memory (1944)","Δεκεμβριανά, ξένη παρέμβαση, κρατική βία και μνήμη εμφυλίου (1944)","Policing, force and institutional accountability",δημόσια εμπιστοσύνη / λογοδοσία,documented/partly documented public record; disputed parts are labelled as disputed,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1944,1944,"Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)","Greece/00-00-1944/Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)",greece_1944_dekemvriana_foreign_pressure_civil_conflict_state_memory,"Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)","Ελλάδα — Δεκεμβριανά, ξένη πίεση, εμφύλια σύγκρουση και κρατική μνήμη (1944–1949)",public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,"High for the conflict and foreign involvement; contested on interpretation, responsibility, and moral framing.",μικτό δημόσιο αρχείο· διάβασε τις πηγές,4
Greece,00-00-1946,1946,White Terror after liberation and civil-war escalation,Greece/00-00-1946/White Terror after liberation and civil-war escalation,greece_1946_white_terror_after_liberation_civil_war_escalation,White Terror after liberation and civil-war escalation,White Terror after liberation and civil-war escalation,civil war / state violence,civil war / state violence,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,μικτό: τεκμηριωμένο γεγονός με αμφισβητούμενες πολιτικές ερμηνείες,2
Greece,00-00-1947,1947,Greece Cia Cold War Stay Behind Claims And 1967 Coup Context 1947 1974,Greece/00-00-1947/Greece Cia Cold War Stay Behind Claims And 1967 Coup Context 1947 1974,greece_1947_cia_cold_war_stay_behind_claims_coup_context,Greece Cia Cold War Stay Behind Claims And 1967 Coup Context 1947 1974,Ελλαδα Cia Ψυχρος Πολεμος Stay Behind Claims Και Πλαισιο Πραξικοπηματος 1967 1947 1974,public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1947,1947,Greece Ufo Supernatural Folklore State Secrecy And Public Psychology 1947 2026,Greece/00-00-1947/Greece Ufo Supernatural Folklore State Secrecy And Public Psychology 1947 2026,greece_1947_ufo_supernatural_folklore_state_secrecy_psychology,Greece Ufo Supernatural Folklore State Secrecy And Public Psychology 1947 2026,Ελλαδα Ufo Υπερφυσικο Λαογραφια Κρατικη Μυστικοτητα Και Δημοσια Ψυχολογια 1947 2026,public trust / accountability,δημόσια εμπιστοσύνη / λογοδοσία,mixed public record; read source trail,μικτό δημόσιο αρχείο· διάβασε τις πηγές,2
Greece,00-00-1947,1947,"Makronisos camps, re-education, and state violence","Greece/00-00-1947/Makronisos camps, re-education, and state violence",greece_1947_makronisos_camps_reeducation_state_violence,"Makronisos camps, re-education, and state violence","Μακρόνησος, αναμόρφωση και κρατική βία",civil-war aftermath / detention / coercion,μετεμφυλιακή περίοδος / κράτηση / καταναγκασμός,documented camp system with contested full responsibility,τεκμηριωμένο σύστημα στρατοπέδων με αμφισβητούμενη πλήρη ευθύνη,2
Greece,00-00-1949,1949,Makronisos exile camp and anti-communist re-education,Greece/00-00-1949/Makronisos exile camp and anti-communist re-education,greece_1949_makronisos_exile_camp_anti_communist_re_education,Makronisos exile camp and anti-communist re-education,Makronisos exile camp and anti-communist re-education,civil war aftermath / repression,civil war aftermath / repression,documented repression,documented repression,2
Greece,00-00-1952,1952,"Beloyannis trial, execution, and Cold War state justice","Greece/00-00-1952/Beloyannis trial, execution, and Cold War state justice",greece_1952_beloyannis_trial_execution_cold_war_state,"Beloyannis trial, execution, and Cold War state justice","Δίκη Μπελογιάννη, εκτέλεση και δικαιοσύνη ψυχροπολεμικού κράτους",political trial / civil-war aftermath / state justice,πολιτική δίκη / μετεμφυλιακό κράτος / δικαιοσύνη,documented trial and execution with contested political meaning,τεκμηριωμένη δίκη και εκτέλεση με αμφισβητούμενη πολιτική σημασία,2
