id,country,year,incident_folder,title_en,media_count,has_generated_snapshot,media_files
greece_1893_bankruptcy_trikoupis_debt_crisis,Greece,1893,Greece/00-00-1893/Greece bankruptcy and Trikoupis debt crisis,Greece bankruptcy and Trikoupis debt crisis,2,True,Greece/00-00-1893/Greece bankruptcy and Trikoupis debt crisis/Media/01 - EN Cover Card.svg | Greece/00-00-1893/Greece bankruptcy and Trikoupis debt crisis/Media/02 - Bilingual Snapshot.svg
greece_1898_international_financial_control_after_war,Greece,1898,Greece/00-00-1898/International Financial Control after the 1897 war,International Financial Control after the 1897 war,2,False,Greece/00-00-1898/International Financial Control after the 1897 war/Media/01 - EN Cover Card.svg | Greece/00-00-1898/International Financial Control after the 1897 war/Media/02 - EN Proof Map.svg
greece_1920_political_dynasties_venizelos_mitsotakis_link,Greece,1920,"Greece/00-00-1920/POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)","POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)",3,False,"Greece/00-00-1920/POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)/Media/01 - EN Portrait.jpg | Greece/00-00-1920/POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)/Media/02 - EN Cover Card.svg | Greece/00-00-1920/POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)/Media/03 - EL Cover Card.svg"
greece_1922_asia_minor_catastrophe_trial_six,Greece,1922,Greece/00-00-1922/Asia Minor catastrophe and trial of the six,Asia Minor catastrophe and trial of the six,2,True,Greece/00-00-1922/Asia Minor catastrophe and trial of the six/Media/01 - EN Cover Card.svg | Greece/00-00-1922/Asia Minor catastrophe and trial of the six/Media/02 - Bilingual Snapshot.svg
greece_1922_trial_of_the_six_asia_minor_accountability,Greece,1922,"Greece/00-00-1922/Trial of the Six, Asia Minor catastrophe, and punishment politics","Trial of the Six, Asia Minor catastrophe, and punishment politics",2,False,"Greece/00-00-1922/Trial of the Six, Asia Minor catastrophe, and punishment politics/Media/01 - Cover Card.svg | Greece/00-00-1922/Trial of the Six, Asia Minor catastrophe, and punishment politics/Media/02 - Proof Map.svg"
greece_1936_metaxas_dictatorship_censorship_machine,Greece,1936,Greece/00-00-1936/Metaxas dictatorship and censorship machine,Metaxas dictatorship and censorship machine,2,True,Greece/00-00-1936/Metaxas dictatorship and censorship machine/Media/01 - EN Cover Card.svg | Greece/00-00-1936/Metaxas dictatorship and censorship machine/Media/02 - Bilingual Snapshot.svg
greece_1941_greek_occupation_famine_collaboration_networks,Greece,1941,Greece/00-00-1941/Greek occupation famine and collaboration networks,Greek occupation famine and collaboration networks,2,True,Greece/00-00-1941/Greek occupation famine and collaboration networks/Media/01 - EN Greek Occupation Famine And Collaboration Networks 1B62Df436C96.svg | Greece/00-00-1941/Greek occupation famine and collaboration networks/Media/02 - Bilingual Snapshot.svg
greece_1944_dekemvriana_british_intervention_civil_war_path,Greece,1944,"Greece/00-00-1944/Dekemvriana, British intervention, and the road to civil war","Dekemvriana, British intervention, and the road to civil war",2,False,"Greece/00-00-1944/Dekemvriana, British intervention, and the road to civil war/Media/01 - Cover Card.svg | Greece/00-00-1944/Dekemvriana, British intervention, and the road to civil war/Media/02 - Proof Map.svg"
greece_1944_dekemvriana_foreign_intervention_state_violence_civil_war_memory,Greece,1944,"Greece/00-00-1944/Dekemvriana, foreign intervention, state violence and civil-war memory (1944)","Dekemvriana, foreign intervention, state violence and civil-war memory (1944)",2,False,"Greece/00-00-1944/Dekemvriana, foreign intervention, state violence and civil-war memory (1944)/Media/01 - EN Cover Card.svg | Greece/00-00-1944/Dekemvriana, foreign intervention, state violence and civil-war memory (1944)/Media/02 - EL Cover Card.svg"
greece_1944_dekemvriana_foreign_pressure_civil_conflict_state_memory,Greece,1944,"Greece/00-00-1944/Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)","Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)",4,False,"Greece/00-00-1944/Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)/Media/01 - EN Cover Card.svg | Greece/00-00-1944/Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)/Media/02 - EN Cover Card.svg | Greece/00-00-1944/Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)/Media/03 - EL Cover Card.svg | Greece/00-00-1944/Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)/Media/04 - EL Cover Card.svg"
