id,country,year,title_en,title_el,url
greece_2022_predatorgate_spyware_state,Greece,2022,Predatorgate spyware and state trust,Predatorgate spyware and state trust,https://www.europarl.europa.eu/doceo/document/TA-9-2023-0244_EN.html
greece_2023_pylos_shipwreck_rescue_duty_evidence_gaps,Greece,2023,"Pylos shipwreck, rescue duty, and evidence gaps — PROOF DOSSIER","Ναυάγιο της Πύλου, υποχρέωση διάσωσης και κενά τεκμηρίωσης — ΦΑΚΕΛΟΣ ΑΠΟΔΕΙΞΕΩΝ",https://www.coe.int/en/web/commissioner/-/greece-should-prevent-pushbacks-and-ensure-accountability-for-human-rights-violations-at-the-borders
greece_2025_echr_greece_pushback_rulings_border_accountability,Greece,2025,ECHR Greece pushback rulings and border accountability,ECHR Greece pushback rulings and border accountability,https://www.echr.coe.int/w/rulings-concerning-greece
greece_2025_kids_wallet_digital_identity_child_protection_debate,Greece,2025,"Kids Wallet, digital identity, and child-protection debate","Kids Wallet, digital identity, and child-protection debate",https://kidswallet.gov.gr/
greece_2025_opekepe_eu_subsidy_fraud_networks,Greece,2025,OPEKEPE EU subsidy-fraud networks,ΟΠΕΚΕΠΕ και δίκτυα απάτης ευρωπαϊκών επιδοτήσεων,https://www.eppo.europa.eu/en/media/news/greece-eppo-probes-opekepe-officials-over-alleged-organised-agricultural-subsidy-fraud
greece_2025_opekepe_eu_subsidy_fraud_networks,Greece,2025,OPEKEPE EU subsidy-fraud networks,ΟΠΕΚΕΠΕ και δίκτυα απάτης ευρωπαϊκών επιδοτήσεων,https://www.eppo.europa.eu/en/media/news/greece-new-developments-eppos-probe-large-scale-agricultural-subsidy-fraud
greece_2026_opekepe_immunity_requests_parliamentary_accountability,Greece,2026,OPEKEPE immunity requests and parliamentary accountability,OPEKEPE immunity requests and parliamentary accountability,https://www.eppo.europa.eu/en/media/news/greece-new-developments-eppos-probe-large-scale-agricultural-subsidy-fraud
usa_1962_operation_northwoods,USA,1962,USA: Operation Northwoods (1962),ΗΠΑ: Επιχείρηση Northwoods (1962),https://nsarchive2.gwu.edu/news/20010430/northwoods.pdf
usa_1964_fbi_mlk_blackmail_letter_surveillance,USA,1964,FBI surveillance of Martin Luther King Jr. and blackmail letter,FBI surveillance of Martin Luther King Jr. and blackmail letter,https://vault.fbi.gov/cointel-pro
usa_1975_church_committee_intelligence_oversight,USA,1975,Church Committee intelligence oversight revelations,Church Committee intelligence oversight revelations,https://www.senate.gov/about/resources/pdf/church-committee-vote1975.pdf
usa_2021_january_6_capitol_attack_accountability_record,USA,2021,January 6 Capitol attack accountability record,January 6 Capitol attack accountability record,https://www.govinfo.gov/collection/january-6th-committee-final-report
usa_2024_aaro_uap_historical_record_expectations,USA,2024,AARO UAP historical record report and public expectations — PROOF DOSSIER,Έκθεση ιστορικού αρχείου AARO για UAP και δημόσιες προσδοκίες — ΦΑΚΕΛΟΣ ΑΠΟΔΕΙΞΕΩΝ,https://www.aaro.mil/
usa_2024_aaro_uap_historical_record_expectations,USA,2024,AARO UAP historical record report and public expectations — PROOF DOSSIER,Έκθεση ιστορικού αρχείου AARO για UAP και δημόσιες προσδοκίες — ΦΑΚΕΛΟΣ ΑΠΟΔΕΙΞΕΩΝ,https://www.archives.gov/research/military/air-force/ufos
